gyroX, 272.46, gyroY, 316.35, gyroZ, 211.36, accX, 0.23, accY, -0.95, accZ, -1.31, Pitch, -12.86, Roll, -134.24, Yaw, 91.43
gyroX, 206.54, gyroY, 310.55, gyroZ, 219.67, accX, 0.07, accY, -1.07, accZ, -1.19, Pitch, 59.21, Roll, -131.65, Yaw, -113.87
gyroX, 193.97, gyroY, 300.48, gyroZ, 256.23, accX, 0.04, accY, -0.87, accZ, -0.99, Pitch, 42.96, Roll, -108.72, Yaw, -50.41
gyroX, 249.21, gyroY, 228.52, gyroZ, 267.52, accX, 0.06, accY, -0.63, accZ, -0.97, Pitch, 21.29, Roll, -137.82, Yaw, 89.27
gyroX, 221.07, gyroY, 233.22, gyroZ, 287.54, accX, 0.35, accY, -0.75, accZ, -1.29, Pitch, 41.06, Roll, -139.69, Yaw, -104.96
gyroX, 149.78, gyroY, 225.46, gyroZ, 272.46, accX, 0.29, accY, -0.43, accZ, -1.06, Pitch, 8.64, Roll, -131.26, Yaw, 66.79
gyroX, 98.45, gyroY, 338.75, gyroZ, 235.47, accX, -0.01, accY, -0.40, accZ, -0.88, Pitch, 11.72, Roll, -130.57, Yaw, -135.61
gyroX, 56.15, gyroY, 290.16, gyroZ, 268.49, accX, -0.14, accY, -0.00, accZ, -0.60, Pitch, 9.49, Roll, -127.44, Yaw, -34.56
gyroX, 176.76, gyroY, 120.18, gyroZ, 329.96, accX, 0.18, accY, -0.46, accZ, -1.11, Pitch, 40.68, Roll, -141.93, Yaw, -156.24
gyroX, 271.55, gyroY, 58.72, gyroZ, 297.55, accX, 0.19, accY, -1.23, accZ, -1.90, Pitch, 50.11, Roll, 171.04, Yaw, 35.66
gyroX, -25.51, gyroY, 216.19, gyroZ, 233.64, accX, -0.29, accY, -0.72, accZ, -1.04, Pitch, -26.47, Roll, -146.05, Yaw, -88.35
gyroX, -44.13, gyroY, 66.16, gyroZ, 242.25, accX, -0.35, accY, -0.62, accZ, -0.84, Pitch, 6.83, Roll, -148.80, Yaw, -170.99
gyroX, -89.78, gyroY, -296.20, gyroZ, 208.92, accX, -0.40, accY, -0.61, accZ, -0.10, Pitch, 64.51, Roll, 99.67, Yaw, 86.30
gyroX, 270.81, gyroY, -148.80, gyroZ, 252.01, accX, 0.13, accY, -0.17, accZ, -0.17, Pitch, -46.40, Roll, -179.51, Yaw, -83.38
gyroX, 407.23, gyroY, -227.23, gyroZ, 217.04, accX, 0.22, accY, -0.81, accZ, -1.29, Pitch, 5.19, Roll, 6.83, Yaw, -46.40
gyroX, 453.06, gyroY, 85.33, gyroZ, 78.61, accX, -0.15, accY, -0.95, accZ, -1.58, Pitch, -31.07, Roll, -121.11, Yaw, -79.74
gyroX, 233.28, gyroY, 228.88, gyroZ, 97.29, accX, -0.36, accY, -0.35, accZ, -1.63, Pitch, 47.91, Roll, -12.82, Yaw, -142.83
gyroX, 118.96, gyroY, -60.55, gyroZ, 47.18, accX, -0.58, accY, -0.82, accZ, -0.99, Pitch, 60.45, Roll, 44.04, Yaw, -123.49
gyroX, 116.39, gyroY, -127.01, gyroZ, 83.19, accX, -0.02, accY, -1.23, accZ, 0.52, Pitch, 16.82, Roll, 44.30, Yaw, -155.75
gyroX, 421.63, gyroY, 613.04, gyroZ, 160.10, accX, -0.14, accY, -1.32, accZ, -0.23, Pitch, -41.07, Roll, -7.67, Yaw, 159.71
gyroX, 520.08, gyroY, 515.62, gyroZ, 294.31, accX, -0.13, accY, -1.44, accZ, -1.40, Pitch, -52.44, Roll, 177.12, Yaw, -92.15
gyroX, 313.29, gyroY, 381.35, gyroZ, 336.36, accX, 0.57, accY, -1.18, accZ, -1.92, Pitch, -11.63, Roll, 152.51, Yaw, -73.32
gyroX, 199.52, gyroY, 171.69, gyroZ, 259.03, accX, 0.10, accY, -1.16, accZ, -1.50, Pitch, 27.26, Roll, -97.48, Yaw, 169.12
gyroX, 102.60, gyroY, -4.33, gyroZ, 259.89, accX, -0.20, accY, -1.27, accZ, -0.86, Pitch, 52.07, Roll, 138.07, Yaw, -36.03
gyroX, 88.20, gyroY, 160.28, gyroZ, 240.11, accX, -0.32, accY, -0.96, accZ, -0.52, Pitch, -21.51, Roll, -175.36, Yaw, -104.32
gyroX, 89.97, gyroY, 145.26, gyroZ, 260.38, accX, -0.21, accY, -0.55, accZ, -0.54, Pitch, 5.66, Roll, -117.67, Yaw, 161.62
gyroX, 133.73, gyroY, 168.46, gyroZ, 274.23, accX, 0.15, accY, -0.40, accZ, -0.67, Pitch, 38.86, Roll, -138.14, Yaw, 45.45
gyroX, 248.35, gyroY, -30.52, gyroZ, 249.08, accX, 0.37, accY, -0.71, accZ, -1.04, Pitch, 62.56, Roll, 162.18, Yaw, -119.94
gyroX, 251.40, gyroY, 104.25, gyroZ, 213.38, accX, -0.07, accY, -0.45, accZ, -1.31, Pitch, 25.87, Roll, -172.43, Yaw, -179.77
gyroX, 247.07, gyroY, 3.48, gyroZ, 174.62, accX, -0.32, accY, -0.39, accZ, -1.18, Pitch, 40.60, Roll, -138.91, Yaw, 124.95
gyroX, 290.16, gyroY, 19.65, gyroZ, 149.60, accX, -0.31, accY, -0.77, accZ, -1.40, Pitch, 70.11, Roll, -113.13, Yaw, 53.48
gyroX, 289.06, gyroY, 158.39, gyroZ, 156.19, accX, -0.39, accY, -0.81, accZ, -1.09, Pitch, 48.50, Roll, -162.15, Yaw, -109.23
gyroX, 279.91, gyroY, 268.25, gyroZ, 210.63, accX, -0.26, accY, -0.67, accZ, -1.00, Pitch, 25.27, Roll, -105.63, Yaw, 103.51
gyroX, 366.64, gyroY, 158.39, gyroZ, 248.47, accX, -0.05, accY, -0.93, accZ, -1.36, Pitch, 63.14, Roll, 167.79, Yaw, -121.42
gyroX, 226.01, gyroY, 320.01, gyroZ, 276.98, accX, -0.04, accY, -0.30, accZ, -1.33, Pitch, 7.51, Roll, -110.89, Yaw, 80.84
gyroX, 218.57, gyroY, 222.17, gyroZ, 292.66, accX, 0.53, accY, -0.24, accZ, -0.72, Pitch, 27.92, Roll, -124.66, Yaw, 11.54
gyroX, 350.89, gyroY, 165.04, gyroZ, 236.69, accX, 0.49, accY, -0.74, accZ, -1.10, Pitch, 56.24, Roll, -178.74, Yaw, 128.77
gyroX, 295.17, gyroY, 520.32, gyroZ, 197.69, accX, -0.05, accY, -0.75, accZ, -0.83, Pitch, 11.20, Roll, -82.24, Yaw, -17.87
gyroX, 200.99, gyroY, 218.69, gyroZ, 273.99, accX, 0.45, accY, -1.55, accZ, -0.93, Pitch, 26.22, Roll, -114.97, Yaw, -2.68
gyroX, 41.20, gyroY, 82.34, gyroZ, 285.16, accX, 0.38, accY, -1.39, accZ, -0.21, Pitch, 26.02, Roll, -175.47, Yaw, 171.00
gyroX, 109.92, gyroY, -252.62, gyroZ, 217.47, accX, -0.25, accY, -1.41, accZ, -0.29, Pitch, 72.21, Roll, 123.17, Yaw, 60.74
gyroX, 286.56, gyroY, -118.65, gyroZ, 351.87, accX, -0.10, accY, -1.32, accZ, -0.88, Pitch, -10.66, Roll, 129.20, Yaw, -65.04
gyroX, 273.19, gyroY, -1.95, gyroZ, 317.14, accX, 0.33, accY, -1.01, accZ, -1.71, Pitch, 53.82, Roll, -87.80, Yaw, -158.93
gyroX, 306.27, gyroY, 363.04, gyroZ, 267.33, accX, 0.26, accY, -1.12, accZ, -1.29, Pitch, 20.09, Roll, -179.21, Yaw, 4.24
gyroX, 207.52, gyroY, 246.03, gyroZ, 253.17, accX, 0.19, accY, -1.05, accZ, -1.13, Pitch, 51.20, Roll, -84.75, Yaw, -167.21
