gyroX, 72.57, gyroY, -159.30, gyroZ, 43.15, accX, 1.07, accY, -2.35, accZ, 0.78, Pitch, -52.64, Roll, -97.95, Yaw, -79.04
gyroX, -217.16, gyroY, 284.67, gyroZ, 46.75, accX, -0.70, accY, -1.81, accZ, -1.05, Pitch, -4.01, Roll, -124.22, Yaw, 79.92
gyroX, 6.59, gyroY, 38.76, gyroZ, 96.13, accX, -0.65, accY, -0.69, accZ, 0.43, Pitch, 42.33, Roll, -175.87, Yaw, 46.40
gyroX, 91.80, gyroY, 347.29, gyroZ, 20.51, accX, -0.50, accY, 0.17, accZ, 0.60, Pitch, -60.11, Roll, -116.46, Yaw, -40.00
gyroX, 200.32, gyroY, 463.56, gyroZ, 22.58, accX, -0.55, accY, 0.17, accZ, 0.29, Pitch, 29.49, Roll, 1.91, Yaw, -129.48
gyroX, 85.14, gyroY, 250.49, gyroZ, -60.49, accX, -0.04, accY, 0.08, accZ, 0.40, Pitch, 65.42, Roll, -171.70, Yaw, 42.14
gyroX, 109.44, gyroY, 577.51, gyroZ, -21.61, accX, 0.04, accY, -0.32, accZ, 0.19, Pitch, -45.35, Roll, -127.10, Yaw, -3.96
gyroX, 4.76, gyroY, 44.80, gyroZ, 0.85, accX, -0.14, accY, -0.55, accZ, 0.83, Pitch, 30.08, Roll, -44.66, Yaw, -139.97
gyroX, -210.75, gyroY, -521.91, gyroZ, -49.99, accX, 0.54, accY, -1.84, accZ, 1.64, Pitch, 30.54, Roll, -161.49, Yaw, 40.18
gyroX, 76.60, gyroY, -13.12, gyroZ, 41.02, accX, 0.61, accY, -2.77, accZ, 1.62, Pitch, 57.05, Roll, 161.11, Yaw, 14.49
gyroX, 45.10, gyroY, 22.09, gyroZ, 7.02, accX, 0.21, accY, -2.12, accZ, 1.33, Pitch, 58.82, Roll, -172.08, Yaw, 27.27
gyroX, 0.00, gyroY, -69.64, gyroZ, 1.95, accX, -0.09, accY, -2.28, accZ, 0.83, Pitch, 64.17, Roll, -142.93, Yaw, 56.20
gyroX, 85.45, gyroY, -103.82, gyroZ, -41.93, accX, -0.54, accY, -1.63, accZ, -0.04, Pitch, 43.19, Roll, -61.93, Yaw, 119.35
gyroX, -177.92, gyroY, -80.44, gyroZ, -61.40, accX, -0.13, accY, -0.24, accZ, 0.33, Pitch, 41.59, Roll, -176.12, Yaw, 144.21
gyroX, -65.49, gyroY, -265.99, gyroZ, -154.30, accX, -0.25, accY, -0.15, accZ, 0.58, Pitch, -13.14, Roll, -76.29, Yaw, -31.61
gyroX, -9.22, gyroY, -428.28, gyroZ, -186.71, accX, -0.12, accY, -0.14, accZ, 0.43, Pitch, 58.22, Roll, -90.96, Yaw, -120.95
