gyroX, 242.86, gyroY, 1072.39, gyroZ, 29.36, accX, 0.04, accY, -1.56, accZ, -1.49, Pitch, -4.13, Roll, -138.46, Yaw, -163.68
gyroX, 34.06, gyroY, 88.75, gyroZ, 39.06, accX, -0.70, accY, -0.50, accZ, -0.86, Pitch, 42.90, Roll, -39.44, Yaw, 19.65
gyroX, 22.40, gyroY, -775.33, gyroZ, -162.35, accX, 0.55, accY, -1.25, accZ, 0.63, Pitch, 7.45, Roll, -142.45, Yaw, -125.41
gyroX, 22.03, gyroY, -196.35, gyroZ, -102.97, accX, 1.11, accY, -1.01, accZ, 0.87, Pitch, 3.23, Roll, -135.90, Yaw, -125.00
gyroX, 177.67, gyroY, 271.67, gyroZ, -26.55, accX, 0.25, accY, -0.75, accZ, 0.17, Pitch, -23.39, Roll, -72.49, Yaw, -181.74
gyroX, 126.89, gyroY, -293.03, gyroZ, -57.19, accX, 0.30, accY, -1.01, accZ, -0.48, Pitch, -56.85, Roll, -49.74, Yaw, -158.82
gyroX, 145.51, gyroY, -399.54, gyroZ, -143.43, accX, 0.33, accY, -1.10, accZ, -2.00, Pitch, 26.91, Roll, -109.33, Yaw, 72.38
gyroX, -51.27, gyroY, 19.29, gyroZ, 26.79, accX, 0.00, accY, -0.59, accZ, -0.23, Pitch, -13.68, Roll, -104.50, Yaw, -164.07
gyroX, -101.14, gyroY, 449.77, gyroZ, 109.99, accX, 0.36, accY, -0.72, accZ, -0.48, Pitch, -14.92, Roll, -102.67, Yaw, 19.49
gyroX, -178.71, gyroY, 800.35, gyroZ, 110.66, accX, 0.59, accY, -1.00, accZ, -0.72, Pitch, -15.29, Roll, -92.40, Yaw, 144.24
gyroX, -265.93, gyroY, 1175.54, gyroZ, 62.19, accX, 0.71, accY, -1.13, accZ, -0.71, Pitch, -13.49, Roll, -91.21, Yaw, 25.02
gyroX, -404.17, gyroY, 1169.31, gyroZ, -140.87, accX, 0.85, accY, -1.55, accZ, -0.80, Pitch, -17.51, Roll, -86.11, Yaw, 9.68
gyroX, -344.48, gyroY, 1236.63, gyroZ, -106.45, accX, 1.32, accY, -0.82, accZ, -0.81, Pitch, -6.15, Roll, -79.81, Yaw, -2.60
gyroX, -501.95, gyroY, 736.39, gyroZ, -94.18, accX, -0.41, accY, -0.47, accZ, -1.10, Pitch, -36.82, Roll, -92.05, Yaw, -106.99
gyroX, -165.65, gyroY, 17.94, gyroZ, -23.56, accX, 0.11, accY, -1.11, accZ, -0.56, Pitch, -34.13, Roll, -148.83, Yaw, -126.90
gyroX, -7.51, gyroY, 197.27, gyroZ, -154.36, accX, -0.37, accY, -1.31, accZ, 0.22, Pitch, -39.28, Roll, 19.02, Yaw, 47.09
gyroX, 131.71, gyroY, -392.76, gyroZ, -20.94, accX, -0.54, accY, -1.23, accZ, 0.52, Pitch, -42.88, Roll, 141.97, Yaw, -74.84
gyroX, 190.31, gyroY, -585.94, gyroZ, 100.83, accX, -0.73, accY, -1.30, accZ, 0.70, Pitch, 41.65, Roll, -7.39, Yaw, 37.77
gyroX, 31.37, gyroY, 114.44, gyroZ, -12.88, accX, -0.42, accY, -0.89, accZ, 0.26, Pitch, 34.27, Roll, -13.87, Yaw, 26.17
gyroX, 108.15, gyroY, 142.33, gyroZ, 10.62, accX, -0.20, accY, -0.80, accZ, 0.00, Pitch, 75.39, Roll, -53.21, Yaw, -43.57
gyroX, 135.68, gyroY, -96.25, gyroZ, -49.74, accX, -0.04, accY, -0.99, accZ, 0.17, Pitch, 49.24, Roll, -42.99, Yaw, -74.89
gyroX, 6.71, gyroY, -451.66, gyroZ, -96.01, accX, 0.37, accY, -1.06, accZ, 0.15, Pitch, -58.87, Roll, -68.37, Yaw, -9.20
gyroX, -153.50, gyroY, -565.00, gyroZ, -87.04, accX, 0.80, accY, -0.90, accZ, 0.45, Pitch, 48.86, Roll, -173.17, Yaw, 114.96
gyroX, -227.84, gyroY, -1534.48, gyroZ, -214.84, accX, 1.36, accY, -1.37, accZ, 0.63, Pitch, 59.43, Roll, -56.62, Yaw, -109.81
gyroX, 105.22, gyroY, -507.14, gyroZ, -173.16, accX, 1.10, accY, -0.68, accZ, 0.17, Pitch, 31.11, Roll, -143.98, Yaw, 150.18
gyroX, 288.45, gyroY, -505.19, gyroZ, -138.06, accX, 0.64, accY, -1.26, accZ, 0.18, Pitch, -63.04, Roll, -147.67, Yaw, 39.65
gyroX, -25.21, gyroY, -275.39, gyroZ, -113.34, accX, 0.05, accY, -0.93, accZ, 0.25, Pitch, 13.60, Roll, -131.74, Yaw, 149.60
gyroX, -130.43, gyroY, 184.02, gyroZ, -141.60, accX, -0.34, accY, -1.07, accZ, 0.05, Pitch, -18.50, Roll, -169.11, Yaw, -145.34
gyroX, 53.65, gyroY, 17.15, gyroZ, -71.59, accX, -0.48, accY, -1.09, accZ, -0.48, Pitch, -41.12, Roll, 32.46, Yaw, 6.11
gyroX, 194.46, gyroY, -174.44, gyroZ, -54.63, accX, 0.21, accY, -0.38, accZ, -0.95, Pitch, 0.44, Roll, -156.23, Yaw, -56.51
gyroX, -76.11, gyroY, 104.98, gyroZ, -63.29, accX, 0.55, accY, -0.52, accZ, -1.11, Pitch, -30.64, Roll, -171.70, Yaw, -44.93
gyroX, 5.80, gyroY, -108.58, gyroZ, -61.52, accX, 0.16, accY, -0.93, accZ, -0.40, Pitch, -20.50, Roll, -177.01, Yaw, -26.43
gyroX, 79.28, gyroY, -162.23, gyroZ, -108.76, accX, 0.63, accY, -0.54, accZ, -0.34, Pitch, -3.36, Roll, -150.44, Yaw, 2.11
gyroX, 53.10, gyroY, 26.55, gyroZ, -45.10, accX, 0.28, accY, -1.31, accZ, -0.05, Pitch, -12.87, Roll, -143.17, Yaw, 12.69
gyroX, 22.77, gyroY, 320.31, gyroZ, -50.11, accX, 0.44, accY, -1.11, accZ, -0.28, Pitch, -13.51, Roll, -31.87, Yaw, -151.01
gyroX, 83.56, gyroY, -251.83, gyroZ, -47.79, accX, 0.44, accY, -0.89, accZ, 0.02, Pitch, -82.06, Roll, -65.95, Yaw, -76.84
gyroX, 60.24, gyroY, -5.62, gyroZ, -58.78, accX, 0.34, accY, -1.03, accZ, 0.04, Pitch, -47.62, Roll, -165.86, Yaw, 42.00
gyroX, -89.48, gyroY, -760.44, gyroZ, -85.02, accX, 0.46, accY, -0.93, accZ, -0.77, Pitch, 52.29, Roll, -50.54, Yaw, -132.87
gyroX, -2.14, gyroY, 239.62, gyroZ, 0.79, accX, -0.04, accY, -0.71, accZ, -0.71, Pitch, 21.47, Roll, -57.15, Yaw, -131.81
gyroX, -187.44, gyroY, 1595.15, gyroZ, 211.61, accX, 0.47, accY, -0.62, accZ, -1.20, Pitch, -11.21, Roll, -141.84, Yaw, 98.26
gyroX, -433.41, gyroY, 1984.31, gyroZ, -56.03, accX, 2.15, accY, -1.92, accZ, -1.32, Pitch, -32.32, Roll, -45.38, Yaw, -60.39
gyroX, -482.73, gyroY, 743.65, gyroZ, -299.07, accX, 1.16, accY, -0.80, accZ, -0.73, Pitch, -30.19, Roll, -95.95, Yaw, 129.51
gyroX, -456.97, gyroY, 452.58, gyroZ, -173.52, accX, 0.42, accY, -1.12, accZ, -0.70, Pitch, -63.69, Roll, -75.57, Yaw, 7.92
gyroX, 0.98, gyroY, 288.09, gyroZ, -109.44, accX, -0.46, accY, -1.10, accZ, -0.28, Pitch, -9.46, Roll, -80.20, Yaw, -72.47
gyroX, -15.01, gyroY, 8.97, gyroZ, -175.48, accX, 0.01, accY, -0.72, accZ, 0.14, Pitch, -76.94, Roll, -64.02, Yaw, -119.05
gyroX, -23.32, gyroY, 83.92, gyroZ, -83.98, accX, 0.53, accY, -0.72, accZ, -0.11, Pitch, -40.38, Roll, -0.01, Yaw, 153.15
gyroX, 52.37, gyroY, 1.40, gyroZ, -43.15, accX, 0.20, accY, -0.65, accZ, 0.11, Pitch, -25.16, Roll, -2.26, Yaw, 151.13
gyroX, -33.45, gyroY, -375.06, gyroZ, -181.27, accX, 0.05, accY, -0.95, accZ, 0.61, Pitch, -27.00, Roll, 120.89, Yaw, -22.38
gyroX, 22.58, gyroY, -785.28, gyroZ, -239.93, accX, 0.77, accY, -0.73, accZ, -0.00, Pitch, 66.38, Roll, 100.99, Yaw, -111.70
gyroX, 82.21, gyroY, -524.17, gyroZ, -176.09, accX, 0.77, accY, -0.82, accZ, -0.26, Pitch, -22.26, Roll, 144.55, Yaw, -49.34
gyroX, 158.94, gyroY, -1152.28, gyroZ, -301.88, accX, 1.89, accY, -0.95, accZ, 0.42, Pitch, -7.44, Roll, 156.57, Yaw, -57.25
gyroX, 455.75, gyroY, -315.06, gyroZ, -322.51, accX, 1.06, accY, -1.02, accZ, 0.17, Pitch, -32.89, Roll, 8.36, Yaw, 35.90
gyroX, 679.50, gyroY, -166.02, gyroZ, -99.98, accX, 0.22, accY, -2.21, accZ, -0.48, Pitch, -4.02, Roll, -105.72, Yaw, 24.04
gyroX, -90.03, gyroY, -54.02, gyroZ, -94.36, accX, -0.50, accY, -0.53, accZ, -0.03, Pitch, -16.93, Roll, -75.13, Yaw, 31.46
gyroX, -182.56, gyroY, -356.14, gyroZ, -184.02, accX, -0.50, accY, -0.82, accZ, -0.12, Pitch, 46.71, Roll, -160.82, Yaw, 171.30
gyroX, 67.87, gyroY, -161.44, gyroZ, -63.05, accX, -0.29, accY, -0.66, accZ, -0.24, Pitch, 28.68, Roll, -68.04, Yaw, -60.55
gyroX, 71.72, gyroY, 153.44, gyroZ, -47.18, accX, 0.48, accY, -0.34, accZ, -1.10, Pitch, 36.27, Roll, -61.83, Yaw, -106.89
gyroX, -12.76, gyroY, -27.71, gyroZ, -29.91, accX, 0.12, accY, -1.02, accZ, -0.36, Pitch, 13.95, Roll, -89.27, Yaw, -123.13
gyroX, 48.22, gyroY, 106.26, gyroZ, -84.84, accX, 0.62, accY, -0.95, accZ, -0.54, Pitch, -29.51, Roll, -45.64, Yaw, -126.44
gyroX, 22.52, gyroY, 149.72, gyroZ, -81.79, accX, 0.41, accY, -1.44, accZ, -0.42, Pitch, -12.60, Roll, -38.50, Yaw, 159.23
gyroX, 16.54, gyroY, -95.76, gyroZ, -53.71, accX, 0.24, accY, -0.77, accZ, -0.24, Pitch, -55.34, Roll, -41.00, Yaw, -185.50
gyroX, 3.11, gyroY, -291.75, gyroZ, -86.61, accX, 0.51, accY, -0.89, accZ, -0.01, Pitch, -32.80, Roll, -164.34, Yaw, -47.51
gyroX, 55.73, gyroY, -254.94, gyroZ, -92.29, accX, 0.44, accY, -0.87, accZ, -0.02, Pitch, 7.03, Roll, -151.21, Yaw, -13.97
gyroX, 49.26, gyroY, -91.55, gyroZ, -88.93, accX, 0.34, accY, -1.00, accZ, -0.06, Pitch, 9.06, Roll, -130.84, Yaw, 17.25
gyroX, 109.99, gyroY, 110.17, gyroZ, -71.78, accX, 0.40, accY, -1.05, accZ, -0.35, Pitch, -24.92, Roll, -81.49, Yaw, 3.30
gyroX, 83.25, gyroY, 385.86, gyroZ, -26.79, accX, 0.55, accY, -0.87, accZ, -1.20, Pitch, 51.10, Roll, -19.82, Yaw, -87.29
gyroX, -243.47, gyroY, 1212.16, gyroZ, 21.42, accX, 1.05, accY, -0.56, accZ, -1.62, Pitch, 49.00, Roll, -132.31, Yaw, 162.69
gyroX, -570.62, gyroY, 1406.25, gyroZ, -240.30, accX, 1.90, accY, -1.25, accZ, -1.52, Pitch, -70.26, Roll, 19.59, Yaw, -75.39
gyroX, -410.46, gyroY, 834.96, gyroZ, -181.34, accX, 0.79, accY, -0.68, accZ, -0.31, Pitch, -55.06, Roll, -145.13, Yaw, 121.25
gyroX, -258.06, gyroY, 614.44, gyroZ, -84.72, accX, 0.31, accY, -0.89, accZ, -0.42, Pitch, 16.19, Roll, -103.82, Yaw, -184.86
gyroX, -96.62, gyroY, 169.80, gyroZ, -82.64, accX, -0.18, accY, -1.20, accZ, -0.81, Pitch, -43.54, Roll, -133.33, Yaw, 108.20
gyroX, -1.71, gyroY, -324.83, gyroZ, -156.37, accX, -0.64, accY, -1.37, accZ, 0.25, Pitch, 61.24, Roll, -150.43, Yaw, -136.96
