gyroX, -20.14, gyroY, -2.14, gyroZ, 4.46, accX, -0.10, accY, -0.98, accZ, -0.10, Pitch, 11.61, Roll, -112.94, Yaw, -102.86
gyroX, -20.75, gyroY, -3.17, gyroZ, 4.21, accX, -0.12, accY, -0.98, accZ, -0.10, Pitch, 11.86, Roll, -113.88, Yaw, -100.82
gyroX, -19.35, gyroY, -2.69, gyroZ, 3.78, accX, -0.13, accY, -0.99, accZ, -0.09, Pitch, 12.04, Roll, -114.36, Yaw, -98.07
gyroX, -20.02, gyroY, -1.53, gyroZ, 3.23, accX, -0.12, accY, -0.98, accZ, -0.09, Pitch, 11.81, Roll, -114.66, Yaw, -96.66
gyroX, -19.29, gyroY, -3.60, gyroZ, 2.81, accX, -0.12, accY, -0.98, accZ, -0.12, Pitch, 11.53, Roll, -114.94, Yaw, -94.76
gyroX, -20.26, gyroY, -5.68, gyroZ, 2.01, accX, -0.11, accY, -0.98, accZ, -0.12, Pitch, 11.53, Roll, -115.20, Yaw, -91.78
gyroX, -19.65, gyroY, -5.80, gyroZ, 1.89, accX, -0.13, accY, -0.98, accZ, -0.11, Pitch, 11.54, Roll, -115.09, Yaw, -88.65
gyroX, -18.80, gyroY, -8.42, gyroZ, 0.92, accX, -0.11, accY, -0.97, accZ, -0.11, Pitch, 11.44, Roll, -114.85, Yaw, -82.92
gyroX, -18.31, gyroY, -9.77, gyroZ, 0.18, accX, -0.13, accY, -0.97, accZ, -0.10, Pitch, 11.64, Roll, -114.34, Yaw, -77.64
gyroX, -17.46, gyroY, -9.34, gyroZ, 0.37, accX, -0.14, accY, -0.98, accZ, -0.12, Pitch, 11.76, Roll, -114.03, Yaw, -75.18
gyroX, -17.15, gyroY, -9.70, gyroZ, 0.55, accX, -0.13, accY, -0.97, accZ, -0.09, Pitch, 11.87, Roll, -113.49, Yaw, -72.65
gyroX, -16.24, gyroY, -9.22, gyroZ, 0.12, accX, -0.12, accY, -0.98, accZ, -0.11, Pitch, 11.95, Roll, -113.05, Yaw, -69.62
gyroX, -15.69, gyroY, -8.73, gyroZ, -0.06, accX, -0.14, accY, -0.98, accZ, -0.11, Pitch, 11.88, Roll, -112.47, Yaw, -66.75
gyroX, -12.82, gyroY, -6.41, gyroZ, 0.00, accX, -0.14, accY, -0.97, accZ, -0.11, Pitch, 11.60, Roll, -111.55, Yaw, -63.47
gyroX, -12.33, gyroY, -3.11, gyroZ, 0.79, accX, -0.13, accY, -0.99, accZ, -0.13, Pitch, 10.84, Roll, -110.43, Yaw, -58.56
gyroX, -11.41, gyroY, -0.12, gyroZ, 1.46, accX, -0.12, accY, -0.97, accZ, -0.11, Pitch, 10.19, Roll, -109.44, Yaw, -56.72
gyroX, -11.05, gyroY, 2.69, gyroZ, 1.34, accX, -0.12, accY, -0.97, accZ, -0.11, Pitch, 9.20, Roll, -108.72, Yaw, -56.83
gyroX, -11.72, gyroY, 1.83, gyroZ, 1.59, accX, -0.12, accY, -0.98, accZ, -0.11, Pitch, 8.81, Roll, -108.38, Yaw, -57.00
