gyroX, 48.46, gyroY, 86.67, gyroZ, -62.13, accX, -0.37, accY, -0.91, accZ, 0.12, Pitch, 25.85, Roll, -19.50, Yaw, 103.63
gyroX, 65.43, gyroY, 98.82, gyroZ, -27.65, accX, -0.15, accY, -1.08, accZ, 0.15, Pitch, 46.29, Roll, -76.42, Yaw, 7.14
gyroX, 88.50, gyroY, 365.05, gyroZ, -3.78, accX, 0.21, accY, -0.77, accZ, 0.01, Pitch, 5.62, Roll, -81.88, Yaw, 139.88
gyroX, 68.97, gyroY, 105.90, gyroZ, 19.90, accX, 0.05, accY, -0.88, accZ, -0.24, Pitch, 21.65, Roll, -78.70, Yaw, 20.89
gyroX, 78.19, gyroY, -138.73, gyroZ, 19.29, accX, -0.17, accY, -0.94, accZ, -0.00, Pitch, 10.43, Roll, -54.78, Yaw, 50.24
gyroX, 23.80, gyroY, -176.15, gyroZ, 3.42, accX, -0.13, accY, -1.15, accZ, 0.26, Pitch, -21.04, Roll, -57.81, Yaw, 104.63
gyroX, 59.33, gyroY, 60.91, gyroZ, 0.49, accX, -0.07, accY, -1.07, accZ, -0.01, Pitch, -13.17, Roll, -48.04, Yaw, 113.51
gyroX, 69.15, gyroY, 61.22, gyroZ, -15.63, accX, 0.18, accY, -0.98, accZ, -0.25, Pitch, 10.86, Roll, -36.08, Yaw, 87.93
gyroX, 32.78, gyroY, 64.88, gyroZ, -44.49, accX, 0.37, accY, -1.32, accZ, -0.25, Pitch, 18.08, Roll, -51.46, Yaw, 45.50
gyroX, -62.01, gyroY, -83.07, gyroZ, -65.92, accX, -0.31, accY, -1.34, accZ, -0.51, Pitch, -18.44, Roll, -91.35, Yaw, 63.86
gyroX, -130.25, gyroY, 9.09, gyroZ, -19.90, accX, -0.77, accY, -1.04, accZ, -0.19, Pitch, -7.99, Roll, -153.89, Yaw, 94.37
gyroX, -164.98, gyroY, 255.00, gyroZ, 9.03, accX, -0.31, accY, -1.15, accZ, 0.70, Pitch, -24.85, Roll, -42.14, Yaw, -124.44
