gyroX, 17.70, gyroY, 305.66, gyroZ, 61.04, accX, -0.10, accY, -1.07, accZ, -0.42, Pitch, -1.57, Roll, -92.98, Yaw, -34.74
gyroX, -22.46, gyroY, 144.29, gyroZ, 31.62, accX, -0.17, accY, -1.26, accZ, -0.20, Pitch, 3.32, Roll, -104.29, Yaw, -113.69
gyroX, -6.41, gyroY, 67.81, gyroZ, 30.88, accX, -0.11, accY, -0.86, accZ, 0.17, Pitch, 9.00, Roll, -105.13, Yaw, -155.99
gyroX, 15.01, gyroY, 27.65, gyroZ, 24.72, accX, -0.10, accY, -0.85, accZ, 0.12, Pitch, 14.34, Roll, -97.78, Yaw, -179.68
gyroX, 46.75, gyroY, -56.88, gyroZ, 10.74, accX, -0.21, accY, -0.86, accZ, -0.02, Pitch, 16.57, Roll, -79.14, Yaw, -163.77
gyroX, 12.70, gyroY, -56.82, gyroZ, 1.95, accX, -0.32, accY, -1.06, accZ, -0.18, Pitch, 12.81, Roll, -72.25, Yaw, -145.08
gyroX, -15.93, gyroY, -55.42, gyroZ, 9.77, accX, -0.15, accY, -0.91, accZ, -0.16, Pitch, 11.44, Roll, -83.07, Yaw, -126.32
gyroX, 0.24, gyroY, -58.47, gyroZ, 11.17, accX, 0.02, accY, -0.81, accZ, -0.13, Pitch, 10.16, Roll, -86.28, Yaw, -97.87
gyroX, 9.28, gyroY, -25.76, gyroZ, 14.34, accX, 0.10, accY, -0.90, accZ, -0.17, Pitch, 9.36, Roll, -86.16, Yaw, -82.97
gyroX, 15.01, gyroY, -0.55, gyroZ, 3.17, accX, 0.07, accY, -0.94, accZ, -0.22, Pitch, 5.68, Roll, -87.66, Yaw, -83.55
gyroX, 24.41, gyroY, -10.31, gyroZ, -4.39, accX, -0.01, accY, -0.91, accZ, -0.24, Pitch, 3.83, Roll, -85.69, Yaw, -83.18
gyroX, 32.90, gyroY, 8.36, gyroZ, -10.44, accX, -0.09, accY, -0.99, accZ, -0.18, Pitch, 0.15, Roll, -81.02, Yaw, -80.48
gyroX, 34.67, gyroY, 49.99, gyroZ, -10.99, accX, -0.21, accY, -1.00, accZ, -0.13, Pitch, 3.52, Roll, -74.73, Yaw, -97.40
gyroX, 19.53, gyroY, 34.18, gyroZ, -9.03, accX, -0.18, accY, -1.07, accZ, -0.07, Pitch, 5.92, Roll, -73.53, Yaw, -118.20
gyroX, 27.22, gyroY, 45.41, gyroZ, 2.69, accX, -0.17, accY, -1.18, accZ, -0.01, Pitch, 10.22, Roll, -72.74, Yaw, -133.59
gyroX, 40.95, gyroY, 39.31, gyroZ, 6.35, accX, -0.04, accY, -1.10, accZ, 0.00, Pitch, 17.70, Roll, -69.02, Yaw, -159.05
gyroX, 42.11, gyroY, -88.68, gyroZ, -7.32, accX, -0.09, accY, -1.24, accZ, -0.21, Pitch, -0.23, Roll, -59.56, Yaw, -135.11
gyroX, 17.21, gyroY, -92.65, gyroZ, -18.37, accX, -0.13, accY, -0.88, accZ, -0.18, Pitch, -23.12, Roll, -82.93, Yaw, -72.67
gyroX, -141.60, gyroY, 445.19, gyroZ, 4.46, accX, 0.02, accY, -0.84, accZ, -2.20, Pitch, -21.60, Roll, -115.30, Yaw, 100.27
gyroX, -74.83, gyroY, 4.70, gyroZ, 1.59, accX, -0.20, accY, -1.32, accZ, 0.57, Pitch, -20.04, Roll, -100.17, Yaw, 8.30
gyroX, -208.19, gyroY, 63.90, gyroZ, -0.37, accX, -0.54, accY, -1.38, accZ, -0.01, Pitch, -16.01, Roll, -155.92, Yaw, -5.61
gyroX, -152.71, gyroY, 197.20, gyroZ, 20.81, accX, -0.42, accY, -1.09, accZ, -0.10, Pitch, -66.92, Roll, 176.89, Yaw, -37.85
gyroX, -155.94, gyroY, 133.30, gyroZ, 31.68, accX, -0.33, accY, -0.94, accZ, 0.14, Pitch, -25.03, Roll, -67.69, Yaw, 112.82
gyroX, -88.07, gyroY, 171.39, gyroZ, 47.91, accX, -0.30, accY, -0.86, accZ, 0.26, Pitch, 5.91, Roll, -105.20, Yaw, 46.59
gyroX, -63.42, gyroY, 214.60, gyroZ, 37.54, accX, -0.08, accY, -1.01, accZ, 0.39, Pitch, -15.36, Roll, -117.76, Yaw, -49.93
gyroX, -53.04, gyroY, 318.48, gyroZ, 38.33, accX, 0.01, accY, -0.85, accZ, 0.25, Pitch, -11.15, Roll, -86.35, Yaw, -172.94
gyroX, -86.61, gyroY, 210.39, gyroZ, 16.05, accX, 0.23, accY, -0.77, accZ, 0.13, Pitch, -12.12, Roll, -101.19, Yaw, 83.53
gyroX, 10.99, gyroY, 24.11, gyroZ, 17.03, accX, 0.28, accY, -0.87, accZ, 0.12, Pitch, -15.80, Roll, -93.99, Yaw, 22.67
gyroX, 62.01, gyroY, -617.55, gyroZ, -2.38, accX, 0.45, accY, -1.05, accZ, -0.35, Pitch, -3.73, Roll, -87.35, Yaw, -29.81
gyroX, 34.24, gyroY, 53.89, gyroZ, 17.88, accX, -0.38, accY, -1.09, accZ, -1.21, Pitch, 7.75, Roll, -95.89, Yaw, 100.64
gyroX, 17.70, gyroY, 309.69, gyroZ, 68.97, accX, -0.31, accY, -1.35, accZ, -0.59, Pitch, 17.53, Roll, -115.46, Yaw, -43.42
gyroX, -66.35, gyroY, 117.86, gyroZ, 53.04, accX, -0.18, accY, -1.04, accZ, 0.05, Pitch, -3.61, Roll, -128.74, Yaw, -119.25
gyroX, -78.80, gyroY, 59.45, gyroZ, 43.27, accX, -0.01, accY, -0.59, accZ, 0.21, Pitch, -11.99, Roll, -137.28, Yaw, -178.61
gyroX, 25.88, gyroY, 56.52, gyroZ, 15.99, accX, -0.16, accY, -0.92, accZ, 0.03, Pitch, -11.29, Roll, -112.59, Yaw, 150.40
gyroX, -35.71, gyroY, 97.96, gyroZ, 12.70, accX, -0.29, accY, -1.18, accZ, -0.07, Pitch, -8.32, Roll, -107.52, Yaw, 115.74
gyroX, -29.42, gyroY, -16.11, gyroZ, 38.51, accX, -0.19, accY, -1.15, accZ, -0.05, Pitch, 5.32, Roll, -117.30, Yaw, 105.00
gyroX, 9.83, gyroY, 43.27, gyroZ, 57.98, accX, 0.04, accY, -0.84, accZ, -0.06, Pitch, 18.60, Roll, -111.16, Yaw, 89.41
gyroX, 7.20, gyroY, 152.34, gyroZ, 55.48, accX, 0.15, accY, -0.82, accZ, 0.03, Pitch, 9.67, Roll, -112.82, Yaw, 21.74
gyroX, 30.70, gyroY, 118.10, gyroZ, 38.88, accX, 0.11, accY, -0.92, accZ, -0.05, Pitch, 2.38, Roll, -98.11, Yaw, -63.74
gyroX, 40.53, gyroY, 43.82, gyroZ, 25.45, accX, 0.05, accY, -0.94, accZ, -0.13, Pitch, 10.41, Roll, -84.86, Yaw, -92.80
gyroX, 63.96, gyroY, 108.46, gyroZ, 26.61, accX, -0.04, accY, -1.02, accZ, -0.18, Pitch, 26.29, Roll, -76.20, Yaw, -145.05
gyroX, 90.94, gyroY, 90.76, gyroZ, 26.49, accX, -0.11, accY, -1.03, accZ, -0.25, Pitch, 36.50, Roll, -74.80, Yaw, 171.49
gyroX, 77.15, gyroY, 73.00, gyroZ, 22.83, accX, -0.17, accY, -1.05, accZ, -0.31, Pitch, 43.46, Roll, -80.56, Yaw, 120.35
gyroX, 45.53, gyroY, 55.73, gyroZ, 35.03, accX, -0.16, accY, -1.18, accZ, -0.31, Pitch, 42.60, Roll, -97.95, Yaw, 61.27
gyroX, 48.95, gyroY, 13.67, gyroZ, 40.47, accX, -0.08, accY, -1.26, accZ, -0.24, Pitch, 43.71, Roll, -91.23, Yaw, 54.04
gyroX, 62.01, gyroY, 54.75, gyroZ, 38.39, accX, -0.07, accY, -1.24, accZ, -0.24, Pitch, 43.69, Roll, -92.93, Yaw, 29.76
gyroX, 6.16, gyroY, 309.57, gyroZ, 26.25, accX, -0.16, accY, -0.86, accZ, -0.53, Pitch, 17.65, Roll, -125.29, Yaw, -45.74
gyroX, -119.14, gyroY, 296.94, gyroZ, -31.56, accX, -0.26, accY, -0.82, accZ, 0.17, Pitch, -48.73, Roll, -126.16, Yaw, -121.47
gyroX, -111.45, gyroY, 144.96, gyroZ, 8.12, accX, 0.01, accY, -1.26, accZ, 0.02, Pitch, -59.99, Roll, -111.09, Yaw, 156.73
gyroX, -57.19, gyroY, 455.32, gyroZ, -10.19, accX, -0.95, accY, -1.03, accZ, 0.04, Pitch, 29.85, Roll, -105.41, Yaw, -64.37
gyroX, -79.10, gyroY, 201.23, gyroZ, -50.72, accX, -0.33, accY, -0.79, accZ, -0.18, Pitch, -34.39, Roll, -135.07, Yaw, -139.18
gyroX, -71.35, gyroY, 204.04, gyroZ, -18.68, accX, -0.39, accY, -0.81, accZ, 0.05, Pitch, -39.31, Roll, -63.55, Yaw, 84.24
gyroX, -2.75, gyroY, 204.53, gyroZ, -6.23, accX, -0.55, accY, -0.83, accZ, 0.38, Pitch, 24.82, Roll, -73.64, Yaw, -22.85
gyroX, 6.96, gyroY, 40.16, gyroZ, 41.75, accX, -0.31, accY, -0.78, accZ, 0.37, Pitch, 36.48, Roll, -95.17, Yaw, -72.78
gyroX, -25.82, gyroY, 4.58, gyroZ, 21.91, accX, 0.34, accY, -1.03, accZ, -0.19, Pitch, -7.62, Roll, -112.86, Yaw, -180.97
gyroX, -3.78, gyroY, -173.77, gyroZ, 10.01, accX, 0.33, accY, -1.15, accZ, -0.35, Pitch, 14.63, Roll, -89.92, Yaw, -45.74
gyroX, -53.47, gyroY, 34.36, gyroZ, 7.63, accX, 0.12, accY, -1.06, accZ, -0.01, Pitch, -4.05, Roll, -121.30, Yaw, -97.26
gyroX, -6.77, gyroY, -47.12, gyroZ, -7.32, accX, -0.22, accY, -1.22, accZ, -0.12, Pitch, 6.22, Roll, -113.26, Yaw, -82.75
gyroX, 8.30, gyroY, 1.89, gyroZ, -9.46, accX, -0.07, accY, -0.93, accZ, 0.15, Pitch, 7.79, Roll, -95.04, Yaw, -62.71
gyroX, 20.26, gyroY, -24.11, gyroZ, 16.36, accX, -0.35, accY, -0.78, accZ, 0.13, Pitch, 16.53, Roll, -79.33, Yaw, -64.78
gyroX, 3.36, gyroY, -43.82, gyroZ, -5.92, accX, -0.23, accY, -0.75, accZ, 0.05, Pitch, 13.75, Roll, -74.54, Yaw, -48.93
gyroX, -8.79, gyroY, 54.93, gyroZ, -2.50, accX, -0.38, accY, -1.13, accZ, -0.30, Pitch, 14.60, Roll, -90.02, Yaw, -68.14
gyroX, -15.63, gyroY, 88.26, gyroZ, 16.97, accX, -0.31, accY, -0.94, accZ, -0.26, Pitch, 10.33, Roll, -116.66, Yaw, -128.46
gyroX, -26.06, gyroY, -26.98, gyroZ, 14.34, accX, -0.02, accY, -0.86, accZ, -0.04, Pitch, 14.59, Roll, -116.31, Yaw, -129.99
gyroX, -3.97, gyroY, -14.71, gyroZ, 15.75, accX, 0.03, accY, -0.92, accZ, 0.05, Pitch, 19.25, Roll, -106.06, Yaw, -110.25
gyroX, 4.88, gyroY, 46.33, gyroZ, 17.09, accX, -0.01, accY, -0.98, accZ, 0.02, Pitch, 15.75, Roll, -101.83, Yaw, -121.84
gyroX, 17.33, gyroY, 64.39, gyroZ, 17.64, accX, -0.03, accY, -0.97, accZ, -0.03, Pitch, 12.29, Roll, -99.15, Yaw, -159.68
gyroX, 26.18, gyroY, 6.10, gyroZ, 16.91, accX, -0.01, accY, -1.05, accZ, -0.07, Pitch, 13.55, Roll, -89.56, Yaw, -170.35
gyroX, 26.06, gyroY, 29.66, gyroZ, 18.31, accX, -0.06, accY, -0.99, accZ, -0.14, Pitch, 15.88, Roll, -85.32, Yaw, -176.71
gyroX, 23.68, gyroY, 7.14, gyroZ, 15.50, accX, -0.11, accY, -0.95, accZ, -0.14, Pitch, 17.78, Roll, -83.55, Yaw, -180.53
gyroX, 26.61, gyroY, 9.52, gyroZ, 13.37, accX, -0.17, accY, -1.08, accZ, -0.16, Pitch, 19.13, Roll, -80.48, Yaw, -183.43
gyroX, 24.54, gyroY, 5.19, gyroZ, 19.29, accX, -0.17, accY, -1.26, accZ, -0.22, Pitch, 23.75, Roll, -79.71, Yaw, 168.53
gyroX, 21.97, gyroY, -34.06, gyroZ, 18.74, accX, -0.14, accY, -1.05, accZ, -0.19, Pitch, 22.69, Roll, -73.22, Yaw, -179.62
gyroX, 5.31, gyroY, -87.40, gyroZ, 8.54, accX, -0.14, accY, -1.04, accZ, -0.22, Pitch, 12.87, Roll, -70.31, Yaw, -150.64
gyroX, -119.14, gyroY, -226.50, gyroZ, -10.07, accX, 0.12, accY, -0.75, accZ, -0.39, Pitch, 9.85, Roll, -110.82, Yaw, -74.87
gyroX, -108.34, gyroY, 379.58, gyroZ, 6.29, accX, -0.16, accY, -1.07, accZ, 0.31, Pitch, -82.99, Roll, 18.42, Yaw, 85.58
gyroX, -178.96, gyroY, 124.45, gyroZ, -22.89, accX, -0.03, accY, -1.24, accZ, -0.62, Pitch, -74.99, Roll, -119.06, Yaw, 126.24
gyroX, -155.52, gyroY, 70.43, gyroZ, -40.47, accX, -0.08, accY, -1.08, accZ, 0.07, Pitch, -51.84, Roll, -84.68, Yaw, -2.41
gyroX, -119.08, gyroY, 35.83, gyroZ, 2.20, accX, -0.32, accY, -0.66, accZ, 0.13, Pitch, -33.43, Roll, -110.23, Yaw, -59.65
gyroX, -22.09, gyroY, 114.50, gyroZ, 31.07, accX, -0.37, accY, -0.95, accZ, 0.42, Pitch, -13.02, Roll, -102.06, Yaw, -108.84
gyroX, 24.72, gyroY, 76.90, gyroZ, 49.87, accX, -0.17, accY, -0.74, accZ, 0.36, Pitch, 15.41, Roll, -81.22, Yaw, -169.24
gyroX, 68.48, gyroY, -31.62, gyroZ, 54.20, accX, 0.02, accY, -0.89, accZ, -0.19, Pitch, 29.60, Roll, -49.20, Yaw, -156.27
gyroX, -30.33, gyroY, -210.08, gyroZ, 33.75, accX, 0.24, accY, -0.94, accZ, -0.86, Pitch, -7.40, Roll, -64.40, Yaw, -92.32
gyroX, -12.21, gyroY, 105.90, gyroZ, 14.16, accX, 0.34, accY, -0.93, accZ, -0.55, Pitch, -6.42, Roll, -97.19, Yaw, -106.32
gyroX, -30.52, gyroY, 34.48, gyroZ, -4.39, accX, 0.32, accY, -1.05, accZ, -0.38, Pitch, -17.82, Roll, -117.20, Yaw, -128.04
gyroX, -33.75, gyroY, 70.56, gyroZ, -25.27, accX, 0.35, accY, -1.46, accZ, -0.02, Pitch, -29.24, Roll, -112.08, Yaw, -153.42
gyroX, -36.13, gyroY, -32.78, gyroZ, -47.36, accX, -0.16, accY, -0.72, accZ, -0.10, Pitch, -48.84, Roll, -130.61, Yaw, -184.60
gyroX, -20.39, gyroY, -195.98, gyroZ, -16.36, accX, -0.16, accY, -0.83, accZ, -0.12, Pitch, 14.44, Roll, -141.87, Yaw, -131.99
gyroX, -3.11, gyroY, 9.09, gyroZ, -17.64, accX, -0.18, accY, -1.07, accZ, -0.13, Pitch, 18.18, Roll, -121.69, Yaw, -109.98
gyroX, -8.06, gyroY, 20.51, gyroZ, -21.85, accX, -0.22, accY, -1.06, accZ, -0.07, Pitch, 4.16, Roll, -115.58, Yaw, -108.49
gyroX, 17.33, gyroY, -80.63, gyroZ, 16.54, accX, -0.10, accY, -0.83, accZ, -0.30, Pitch, 15.61, Roll, -102.58, Yaw, -83.53
gyroX, 24.60, gyroY, -36.13, gyroZ, 19.17, accX, 0.05, accY, -0.97, accZ, -0.53, Pitch, 19.24, Roll, -94.85, Yaw, -68.87
gyroX, 7.32, gyroY, -23.56, gyroZ, 5.13, accX, 0.03, accY, -1.00, accZ, -0.20, Pitch, 16.12, Roll, -94.76, Yaw, -64.73
gyroX, -12.02, gyroY, -15.75, gyroZ, -0.61, accX, 0.02, accY, -0.93, accZ, -0.05, Pitch, 12.28, Roll, -95.87, Yaw, -59.20
gyroX, -1.04, gyroY, -30.27, gyroZ, -9.34, accX, -0.04, accY, -0.98, accZ, -0.07, Pitch, 3.92, Roll, -94.35, Yaw, -44.00
gyroX, 10.62, gyroY, -35.28, gyroZ, -13.06, accX, -0.20, accY, -1.01, accZ, -0.31, Pitch, 2.55, Roll, -92.71, Yaw, -23.40
gyroX, 8.00, gyroY, -13.55, gyroZ, -10.74, accX, -0.02, accY, -0.96, accZ, -0.33, Pitch, -0.24, Roll, -95.19, Yaw, -16.11
gyroX, 7.20, gyroY, -100.71, gyroZ, -25.57, accX, -0.09, accY, -0.96, accZ, -0.15, Pitch, -3.54, Roll, -96.42, Yaw, 24.30
